global_step_index,activity,step_index,variation,variation_index,headline,paragraph
0,Make Pastel De Papa,0,none,1,Make mashed potatoes.,"Chop the potatoes into chunks, boil until mashable, and then mash away. Add a quarter or a half a stick of butter, as well as some salt and pepper to taste.;"
1,Make Pastel De Papa,1,none,2,Chop and sauté a large onion with cumin until soft and sweet.,
2,Make Pastel De Papa,2,none,3,Hard boil the eggs.,Peel and chop into small pieces.
3,Make Pastel De Papa,3,none,4,Pan fry two or two and a half pounds of ground beef.,"Drain when almost cooked. Add onion, paprika, salt and pepper to taste."
4,Make Pastel De Papa,4,none,5,Grease a nine-by-nine-inch (23cm x 23cm) oven dish.,"Good trick: If you have the paper from a stick of butter, don't throw it out. Rub the buttery side along the dish to grease it. Waste not, want not!"
5,Make Pastel De Papa,5,none,6,Spread a layer of mashed potatoes along the bottom and sides of the dish.,Use a little more than half of the mashed potatoes. Make the layer about a half an inch (1.3cm) thick (but less so on the sides). Sprinkle with half the shredded cheese.
6,Make Pastel De Papa,6,none,7,Spread a layer of ground beef.,Gently press it down with a spatula to compact it. Add a layer of hard boiled egg.
7,Make Pastel De Papa,7,none,8,Apply another layer of mashed potatoes.,
8,Make Pastel De Papa,8,none,9,Sprinkle black pepper to taste.,
9,Make Pastel De Papa,9,none,10,Top with the remaining cheese and some paprika.,
10,Make Pastel De Papa,10,none,11,Bake in a preheated oven at 350ºF/180ºC until the top is just starting to turn golden brown (approximately 15-30 minutes).,
11,Make Pastel De Papa,11,none,12,Remove from the oven and let the dish stand for 10 minutes at room temperature.,Use a spatula to divide and serve.
12,Make Pastel De Papa,12,none,13,Finished.,
13,Make Chiles Rellenos,0,none,1,Make the filling.,"You will make two fillings: one comprised of meat, and the other of cheese.          Meat filling - Fry the ground beef in a standard non-stick pan. Chop up the tomato and one of the onions. Add the chopped ingredients to the pan when the meat is fully brown. Remove the pan from the heat and give the ingredients a stir. Cheese filling - Grate the cheddar cheese into a bowl with a cheese grater. When the whole pound is grated, chop up and add the remaining onion.;"
